model_id,device,dtype,batch_size,iterations,profile_iterations,warmup,max_new_tokens,latency_ms_mean,latency_ms_variance,latency_ms_stddev,latency_ms_p50,latency_ms_p95,latency_ms_p99,images_per_second,images_per_second_variance,images_per_second_stddev,text_length_mean,text_length_variance,text_length_p95,generated_tokens_mean,generated_tokens_variance,generated_tokens_p95,generated_tokens_max,cuda_peak_allocated_mb,cuda_peak_reserved_mb,trace_path,table_path,run,gpu_hour_cost,cost_per_1k_images,batching
microsoft/trocr-base-printed,cuda,fp16,4,50,1,3,32,162.3095,3395.9983,58.2752,169.5487,250.3228,257.8405,29.1857,191.3695,13.8336,11.25,97.6859,32.0,5.45,18.5101,15.0,19,1420.5908,1532.0,runs/trocr-sroie-random-batches-n50-512/traces/trocr_bs4.json.gz,runs/trocr-sroie-random-batches-n50-512/tables/trocr_bs4.txt,random,0.5,0.0047587993054437235,
microsoft/trocr-base-printed,cuda,fp16,8,50,1,3,32,250.5896,5287.8526,72.7176,252.6788,365.7835,379.1911,34.9273,122.2021,11.0545,10.2025,79.5253,30.0,4.8825,15.3571,13.0,20,1450.7319,1634.0,runs/trocr-sroie-random-batches-n50-512/traces/trocr_bs8.json.gz,runs/trocr-sroie-random-batches-n50-512/tables/trocr_bs8.txt,random,0.5,0.003976513755397322,
microsoft/trocr-base-printed,cuda,fp16,16,50,1,3,32,377.6596,6652.7252,81.5642,386.1035,487.3774,554.8562,44.7009,135.1029,11.6234,11.06,88.9776,31.0,5.3225,17.6731,15.0,23,1563.1177,1802.0,runs/trocr-sroie-random-batches-n50-512/traces/trocr_bs16.json.gz,runs/trocr-sroie-random-batches-n50-512/tables/trocr_bs16.txt,random,0.5,0.003107071421132212,
microsoft/trocr-base-printed,cuda,fp16,32,50,1,3,32,776.6842,14997.0675,122.4625,769.9938,970.4978,972.4559,42.2446,46.9747,6.8538,11.2925,94.112,32.0,5.4406,19.1147,15.0,23,1833.4956,2132.0,runs/trocr-sroie-random-batches-n50-512/traces/trocr_bs32.json.gz,runs/trocr-sroie-random-batches-n50-512/tables/trocr_bs32.txt,random,0.5,0.0032877311866815855,
microsoft/trocr-base-printed,cuda,fp16,64,50,1,3,32,1435.7786,34119.3403,184.7142,1426.9855,1722.8693,1723.3834,45.3291,37.1333,6.0937,11.0147,88.6834,31.0,5.2925,17.3736,14.0,23,2374.2515,2952.0,runs/trocr-sroie-random-batches-n50-512/traces/trocr_bs64.json.gz,runs/trocr-sroie-random-batches-n50-512/tables/trocr_bs64.txt,random,0.5,0.003064011614810109,
microsoft/trocr-base-printed,cuda,fp16,4,50,1,3,32,107.0195,3952.8136,62.8714,75.9849,229.1721,291.4805,48.7514,546.3488,23.3741,10.57,86.6182,31.0,5.1,16.8141,14.0,23,1421.7188,1534.0,runs/trocr-sroie-bucketed-text-n50/traces/trocr_bs4.json.gz,runs/trocr-sroie-bucketed-text-n50/tables/trocr_bs4.txt,bucketed_text_length,0.5,0.002848921033834698,bucketed-text-length
microsoft/trocr-base-printed,cuda,fp16,8,50,1,3,32,145.6086,7259.4217,85.2022,107.8581,360.2092,396.5553,69.1937,832.5274,28.8536,10.225,82.0896,33.0,4.99,16.5062,15.0,23,1453.9863,1634.0,runs/trocr-sroie-bucketed-text-n50/traces/trocr_bs8.json.gz,runs/trocr-sroie-bucketed-text-n50/tables/trocr_bs8.txt,bucketed_text_length,0.5,0.0020072476090870826,bucketed-text-length
microsoft/trocr-base-printed,cuda,fp16,16,50,1,3,32,226.5299,15894.594,126.0738,202.4181,516.2506,564.8189,89.5728,1560.5304,39.5035,12.4512,98.3305,33.0,5.9562,20.6527,16.0,23,1563.1177,1802.0,runs/trocr-sroie-bucketed-text-n50/traces/trocr_bs16.json.gz,runs/trocr-sroie-bucketed-text-n50/tables/trocr_bs16.txt,bucketed_text_length,0.5,0.0015505699150734251,bucketed-text-length
microsoft/trocr-base-printed,cuda,fp16,32,50,1,3,32,384.5639,47947.148,218.9684,290.3699,845.801,974.2707,105.5203,1999.2144,44.7126,11.39,97.9579,32.0,5.445,19.1652,15.0,23,1833.4956,2132.0,runs/trocr-sroie-bucketed-text-n50/traces/trocr_bs32.json.gz,runs/trocr-sroie-bucketed-text-n50/tables/trocr_bs32.txt,bucketed_text_length,0.5,0.0013162290942016737,bucketed-text-length
microsoft/trocr-base-printed,cuda,fp16,64,50,1,3,32,692.4767,152358.0432,390.3307,631.4308,1705.0997,1707.6094,113.7743,1943.7634,44.0881,10.5041,77.4392,31.0,5.0625,15.4459,14.0,23,2375.1265,2826.0,runs/trocr-sroie-bucketed-text-n50-bs64/traces/trocr_bs64.json.gz,runs/trocr-sroie-bucketed-text-n50-bs64/tables/trocr_bs64.txt,bucketed_text_length,0.5,0.0012207404386481734,bucketed-text-length
