model_id,dataset_id,batching,batch_size,iteration,latency_ms,images_per_second,text_length_mean,text_length_max,generated_tokens_mean,generated_tokens_max
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,0,118.2498,33.8267,11.75,12,6.0,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,1,64.4816,62.0332,3.75,4,2.5,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,2,39.7207,100.7031,1.0,1,1.0,1
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,3,129.0781,30.989,14.0,15,6.5,8
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,4,164.4665,24.3211,18.25,20,8.25,10
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,5,86.7629,46.1026,4.5,5,3.0,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,6,67.079,59.6312,5.5,6,2.75,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,7,81.525,49.0647,7.75,8,3.75,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,8,98.4677,40.6224,9.5,10,4.5,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,9,321.6971,12.4341,34.5,38,15.75,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,10,75.9367,52.6754,6.5,7,3.0,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,11,110.7335,36.1228,11.75,13,6.5,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,12,73.9668,54.0783,5.0,5,3.0,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,13,160.6686,24.896,18.5,20,8.75,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,14,199.0077,20.0997,29.25,31,11.75,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,15,189.3311,21.127,27.75,31,12.0,13
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,16,63.5789,62.914,4.0,4,2.75,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,17,62.187,64.3221,4.0,4,2.25,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,18,160.3436,24.9464,21.75,24,8.25,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,19,62.2006,64.308,5.25,6,3.0,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,20,112.005,35.7127,11.75,12,5.75,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,21,62.9356,63.5571,5.25,6,3.0,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,22,74.2475,53.8738,7.5,8,3.5,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,23,62.9246,63.5681,5.0,5,2.5,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,24,38.9634,102.6605,1.0,1,1.0,1
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,25,64.7941,61.734,4.0,4,2.25,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,26,64.2792,62.2285,4.0,4,2.75,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,4,27,260.0305,15.3828,35.75,38,18.0,19
